a = { a név  egalizál kiemel mutat személyazonosság tárgyal dologbeli amelyik szab va } 
ankét = { ankét ankét ankét főnév    alkalmi tájékozik megbeszél amely szakértő érdekelt is részt vesz é amely cél az hogyan a résztvevő egalizál közérdek számít kérdés megvitat megbeszél könyv egalizál ankét szervezett a nevel író ötvened születésnap ahol elemez az író életmű a kiadó pedicure bemutat az úgy könyvészet } 
anmassz = {  tömeg tömeges egész } 
anminiatűr = {  kicsiny } 
anna = {  } 
annabella = {  } 
annak = { annak határozó névmutató    irány cél jelez egalizál személy dolog számára irány } 
annak-előtte = {  } 
annak előtt = { annak határozó névmutató    irány cél jelez egalizál személy dolog számára irány } 
annakelőtte = { annak határozó névmutató    irány cél jelez egalizál személy dolog számára irány } 
annakutána = { annak határozó névmutató    irány cél jelez egalizál személy dolog számára irány } 
annales = {    naplós írás sorozat egalizál időszak esemény egalizál közösben élmény naplós vagy ötletes érdekesség összefoglal írásmű vagy cikkely önéletrajz az író élet annales kerül } 
annalis = {  év } 
annalista = {  év író } 
annamária = {  } 
annavölgy = {  községbeli komárom megyés  00 lakosság 20 -es adatol a dunaalmás észak részére a gereben hegység nyúlvány a hegyes kő völgy található } 
annectal = {  idegen terület elfoglal politika vagy katona eszközöl sajátkezű ország csatolmány irányít alá vocabularium bekebelez hódító róma birodalmi annektál a kisebb országos } 
annectál = {  idegen terület elfoglal politika vagy katona eszközöl sajátkezű ország csatolmány irányít alá vocabularium bekebelez hódító róma birodalmi annektál a kisebb országos } 
annektál = {  idegen terület elfoglal politika vagy katona eszközöl sajátkezű ország csatolmány irányít alá vocabularium bekebelez hódító róma birodalmi annektál a kisebb országos } 
annektálás = { annexio annektálás főnév  idegen terület bekebelezés egalizál szomszédos ország vagy ország illet az ot lakó né nép meghódítás é a hódító államhatalom csatol kész tényező elé állított a világol a krída félsz annexió 20 -ben } 
annexio = { annexió annektálás főnév  idegen terület bekebelezés egalizál szomszédos ország vagy ország illet az ot lakó nép nép meghódítás é a hódító államhatalom csatol kész tényező elé állított a világol a krída félsz annexió 20 -ben } 
annexió = { annexió annektálás főnév  idegen terület bekebelezés egalizál szomszédos ország vagy ország illet az ot lakó nép nép meghódítás é a hódító államhatalom csatol kész tényező elé állított a világol a krída félsz annexió 20 -ben } 
annexum = {  mellék } 
anni currentál = {  } 
annibál ad porta = {  hanna a kapu előtt a veszély közel van } 
annimoso = {  } 
anniversarium = {  évfolyam } 
anno = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
anno chrisma = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
anno chrisma salubritas = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
anno currentál = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
anno dac = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
anno da = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
anno domina = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
anno salubritas = { anno határozó  régi meghatározottság évbér a számművelet megjelöl évbér régi időköz anno  00-ban a budapest nagykörű mácsik jelleg így-úgy nézet ko mint mlm } 
annonarium = {  } 
annonce = {  kiejt annonarium } 
annonciroz = {  hirdet újság } 
annoncál = {  hirdet újság } 
annotatio = {  föl } 
annotáció = {  föl } 
annotál = {  föl } 
annualis = {  évi } 
annuitás = { annuitás főnév    tartozás törleszt hosszú lejárat kölcsön rendszeres befizet részlet amely kamatos is tartalmaz adós hava befizet az annuitás } 
annularia longissima = {  } 
annularis = {  gyűrű a gyűrűs } 
annullatio = {  megsemmisít } 
annulláció = {  megsemmisít } 
annullál = {  megsemmisít } 
annunciatio = {  jégkrém fogantatás hírügynökség } 
annunciáció = {  jégkrém fogantatás hírügynökség } 
annunciál = {  jelent } 
annunciáta = {  } 
annuál = {  ráhajlik helyesel } 
annyi = { annyi számnév melléknév  hasonló mennyiség az említ közel szám mérték } 
annyi-amennyi = {  ki-be mennyiség mindegyik hogyan mennyi nebich éppennyi sok is termet annyi-amennyi dna nebich túba-fa sok } 
annyi mint = {    vele egyenleg a számítás elvégzés alapján ennyi meg kettő annyi mint néger } 
annyiadik = { annyiadik névmutató sorszám  olyan-amilyen sorszám az első számít a sor olyan-amilyen helyénvaló levő sorba minden gyere annyiadik ahányadik be fog menni } 
annyian = { annyian névmutató határozó  olyan-amilyen szám személy akkora mennyiség ember együtt } 
annyiban = {    abból a szempont olyan-amilyen jellemző terény nebich volt igaz hogyan túba-fa ingerült válaszol } 
annyiból = {    abból a szempont olyan-amilyen mérték nebich volt igaz hogyan túba-fa ingerült válaszol } 
annyiféle = { annyiféle névmutató melléknév    a jelzálog szám fajta a közöl több változat tartozó } 
annyira = { annyira névmutató határozó    olyan-amilyen mérték a szóbeli forgó bizonyos fok kiterjedés mérték leckéz annyira kell megtanulnivaló hogyan másnap a felel meg tud válaszol a tanár kérdéses } 
annyira-amennyire = { annyira-amennyire határozó kifejezés  ki-be mérték csak bizonyos fok mérték nebich nagyon dallam mácsik megtanult annyira-amennyire dna a teljesedik szöveg mécs nebich tud } 
annyiszor = { annyiszor névmutató határozó  olyan-amilyen sokszor olyan-amilyen gyakrabb vagy olyan-amilyen kevély alkalom } 
annyival = {  olyan-amilyen sokk a közöl mennyiség mérték annyival éremtan be amennyi adspersorium } 
annál = { annál névmutató határozó     az előzmény viszonyítatlan az előzmény következtében fokozott mérték kínál a lány háznép a fiatalember hogyan az csak annál inka ellenáll ennen é a beszélget elejbe elvet egy-két darab sütemény után érintetlen hagy a tálal } 
annálfogva = {  régi a jelzálog ok következtében az ismert részletez említ ok hatás azért lustaság gyere nebich vet komoly az iskolás annálfogva nebich kapotnyak később rendes munkál sealskin } 
annálé = {    egalizál év fontos esemény krónika év } 
annó dac = {    régebben hajdanában } 
anomalia = { anomális anomália főnév    szabályellenes állapot a szabályos való eltér rendellenesség szokatlan forró nyáj egyfalkás időjárás anomália } 
anomalis = {    szabály rendetlen } 
anomia = {  törvénytelen } 
anomália = { anomália anomália főnév    szabályellenes állapot a szabályos való eltér rendellenesség szokatlan forró nyáj egyfalkás időjárás anomália } 
anomális = {    szabály rendetlen } 
anonim = {  név } 
anonimitás = {  névtelen } 
anonym = {  névtelen } 
anonymitas = {  névtelen } 
anorektikum = {    orvos étvágy akart ezékiel anorektikum vet be } 
anorexia = {  } 
anorganicus = {    nebich él anyag test } 
anorganikus = {    nebich él anyag test } 
anorganismus = {  szerva test } 
anorganizmus = {  szerva test } 
anormalis = {  szabály szabályellenes } 
anormális = {  szabály szabályellenes } 
anorák = { anorák főnév  széldeszka kapucni egybe rövidecske vihar kirándul a szél miatt anorák vág neki a hegynyereg } 
anovuláció = {    orvos az ovatio abbamarad } 
anpaszan = {    melles mellékes futta érint odavetődik } 
anprofil = {  oldal arcél profil oldalra néz } 
anpöti komittens = {  bizalmasan ki-be körbe meghitt társas szűk körbe } 
anregend = {  gondolat eleven } 
ansagol = {  füllentés nagyobb mond } 
anschlag = {  } 
anschluss = {  } 
anszambl = {    egész összesség } 
ant = { in ige  fej vagy kézmozdulat tesz a kézfej a csukló mozgat vagy a fejében biccen ritkán egalizál tárgyal mozdítatlan jeladás fiú búcsúzik in egyebünnen a kez } 
anta = { -anta -ente -onta -nta -nte határozórag említ alkalmanként időköz } 
antacid = {    orvos olyan-amilyen gyógyszer ami a gyomorsav semlegesít gyomor antacid lehet szed } 
antagonismus = { antagonismus főnév    ellenségeskedik viszony szemben két vagy több személy vagy dolog között két ország vezető között antagonismus kihatol a kereskedelmi kapcsolat is } 
antagonista = {  ellenfa ellenlázadás } 
antagonizmus = { antagonizmus főnév    ellenségeskedik viszony szemben két vagy több személy vagy dolog között két ország vezető között antagonizmus kihatol a kereskedelmi kapcsolat is } 
antal = {  } 
antalgia = {    orvos a testtartás megváltoztatás a fájdalom elkerül biceg általános antalgia } 
antananarivo = {  } 
antant = { antant főnév    történelem az első világháló egyik katona blokk a német vezet központ hatalmas ellen irányul szövetséges } 
antant kordiális = {  } 
antarktikus = {  délszak } 
ante = {  előtt } 
ante chrisma natura = {  kriszta születés előtt } 
anteacta = {  előzmény } 
anteakta = {  előzmény } 
antecedens = {  megelőz } 
antecedentiák = {  előzmény } 
antecedál = {  elő jár előny van } 
antecessor = {  } 
antecesszor = {  } 
antecibum = {  } 
antedatál = { antedatál ige  előbb kelte írás dokumentum a valós korábbi dátum ír rá } 
antediluvialis = {  özönvész előtt } 
antediluvianus = {  özönvész előtt } 
antediluviális = {  özönvész előtt } 
antenna = { antenna főnév    elektromos berendez amely elektromos rezgés kisugárzik vagy felvétel szolgál } 
antependium = {  az oltárc elejbe é oldalablak fed fém vagy szövetséges } 
antepioritas = {  } 
anteponál = {  eléhoz előny ad } 
antepositio = {  előrag helyez } 
antepozíció = {  előrag helyez } 
anterior = {    elülső műtét az anterior oldalog hajtogat végrehajt } 
anterioritas = {  időben előny } 
anterioritás = {  időben előny } 
anteroposterior = {    orvos elől hátra vizsgálat sor az orvos anteroposterior halad } 
anteveniál = {  megelőz } 
anteverzió = {    orvos előre hány beteg anteverzió segít kell } 
anthologia = { antocián főnév  könyv több író írás különbözet író hasonló jelleg rövidecske írás verseg készítetlen válogat verseg antocián jelent meg karácsony előtt } 
anthracit = { antrakt főnév    ásvány bányász a legjava minőség ásványi szén amely a legteteje é leg fűtő éghetetlen üledék kőzik } 
anthracothérium = {  } 
anthrax = {  orvos lép pokol } 
anthrophomorphismus = {  ember istennő ember alak ember sajátságos való feltüntet } 
anthropo = { antropo melléknév előtag lényeg kapcsolat } 
anthropologia = { antropológ főnév    a test kialakulás kutat tárgy az ember származás é az ember faj valamint az ember test felépítés változás vizsgál tudomány fizikai embertelen } 
anthropomoph = { antropomorfizmus melléknév  ember alak megjelenít felsőbbség láthatatlan lény ember alak ember tulajdonság elképzel vallásos jellemző az antropomorfizmus ábrázol } 
anthropomorph = { antropomorfizmus melléknév  ember alak megjelenít felsőbbség láthatatlan lény ember alak ember tulajdonság elképzel vallásos jellemző az antropomorfizmus ábrázol } 
anti = { anti melléknév előtag  az említ dolognap ellenáll } 
antiabolitionista = {  a rabszolga ellenség } 
antialkoholista = {    szesz nebich ivadék személy csoport aki sajátkezű döntés alapján sohase fogyasztás alkoholok italos semmiletteképpen formáció } 
antiandrogén = {    orvos olyan-amilyen anyag amely gátol az androgén a férfi jellemvonás kifejlődik é ezelől megtartás stimulál vagy szabályzat hormonok hatás } 
antibarbarus = {  nyelv idegenszerű ellenség nyelvtisztaság ilyen-amolyan irány könyv } 
antibiotikum = {    gyógyít anyag amely betegség okozó baktérium vírus pusztít } 
antichambre = {  kiejt antiseptikus } 
antichambriroz = {  előszoba } 
antichambríroz = {  előszoba } 
antichristus = {    vallás a megtestesül gonoszlelkű aki jégkrém kriszta ellenfa a keresztény vallás tanítás szerint sátán utolszor ítélet kriszta legyőz az antikrisztus } 
anticiklon = {    derül időjárás hoz magas nyomás légkör változás } 
anticipando = {  előzetes előre előleg  } 
anticipandó = {  előzetes előre előleg  } 
anticipatio = {  előlegez } 
